A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
73,355,401,Private,M,40,1025,1:12:10,01:52,142 / 575 / 671,07:54,5:31:55,20.25,140 / 551 / 619,06:13,3:56:57,09:02,61 / 287 / 334,10:55:07
74,356,402,Jason Jones,M,40,1111,1:12:24,01:52,148 / 592 / 692,07:06,5:11:41,21.56,57 / 265 / 283,04:12,4:19:48,09:54,133 / 537 / 652,10:55:09
75,357,403,Dave Brannon,M,40,1115,1:14:31,01:55,192 / 748 / 891,08:46,5:36:13,19.99,173 / 635 / 715,05:03,3:51:11,08:49,42 / 222 / 261,10:55:42
76,363,412,Charles Griff,M,40,1384,1:04:08,01:39,31 / 178 / 206,07:40,5:37:25,19.92,180 / 659 / 742,08:52,3:58:14,09:05,66 / 298 / 351,10:56:17
77,365,414,Gary Green,M,40,1366,59:42,01:32,8 / 70 / 77,07:53,5:28:25,20.46,119 / 497 / 548,04:35,4:16:06,09:46,115 / 483 / 588,10:56:39
78,366,415,Paul Carriere,M,40,1152,1:23:36,02:09,340 / 1226 / 1507,07:58,5:27:14,20.54,115 / 475 / 524,05:52,3:52:06,08:51,45 / 235 / 274,10:56:44
79,377,427,Chris Militello,M,40,1453,1:09:51,01:48,96 / 447 / 523,07:42,5:26:10,20.6,112 / 467 / 514,03:18,4:11:31,09:36,97 / 436 / 518,10:58:30
80,378,428,Scott Karsen,M,40,1409,1:18:38,02:02,260 / 970 / 1180,06:07,5:22:09,20.86,92 / 400 / 433,07:45,4:03:56,09:18,79 / 357 / 420,10:58:32
81,380,430,Erwin Hunziker,M,40,1367,1:13:13,01:53,163 / 655 / 776,07:37,5:16:25,21.24,65 / 309 / 332,05:11,4:16:26,09:47,117 / 488 / 593,10:58:50
82,381,431,Chris Wiese,M,40,1172,1:10:04,01:48,99 / 456 / 532,10:46,5:44:59,19.48,211 / 790 / 907,04:51,3:48:15,08:42,38 / 201 / 233,10:58:53
83,383,433,Christopher Segler,M,40,1169,1:17:36,02:00,246 / 908 / 1100,11:24,5:18:21,21.11,73 / 340 / 367,03:53,4:07:56,09:27,88 / 404 / 477,10:59:07
84,384,434,Phillip Childs,M,40,1444,1:07:12,01:44,59 / 308 / 355,07:57,5:32:30,20.21,143 / 563 / 633,04:50,4:06:42,09:24,82 / 385 / 454,10:59:10
85,385,435,Eugene Caffrey,M,40,1162,1:11:30,01:51,125 / 523 / 615,07:27,5:18:12,21.12,72 / 339 / 365,03:46,4:18:51,09:52,130 / 524 / 638,10:59:44
86,389,439,JEAN DION,M,40,1488,1:13:08,01:53,162 / 649 / 768,07:48,5:22:36,20.83,94 / 409 / 443,04:34,4:11:55,09:36,100 / 444 / 527,10:59:59
87,394,444,Todd Volheim,M,40,1249,1:08:12,01:45,76 / 375 / 430,08:05,5:18:59,21.07,79 / 352 / 380,03:12,4:22:04,10:00,141 / 564 / 688,11:00:30
88,400,458,Ron Sciepko,M,40,1040,1:08:09,01:45,74 / 370 / 425,06:55,5:17:42,21.15,70 / 333 / 358,05:19,4:24:51,10:06,146 / 596 / 722,11:02:55
89,404,464,Scott Frederick,M,40,1405,53:09,01:22,1 / 10 / 10,07:10,5:38:43,19.84,186 / 682 / 778,05:49,4:18:48,09:52,128 / 520 / 634,11:03:36
90,406,466,Kevin Sabol,M,40,1157,1:23:45,02:10,342 / 1235 / 1516,10:58,5:28:59,20.43,125 / 508 / 561,07:21,3:52:53,08:53,48 / 246 / 286,11:03:53
91,408,468,Stephen Bregler,M,40,1479,1:17:21,02:00,242 / 894 / 1080,08:26,5:05:40,21.98,36 / 195 / 208,03:27,4:29:44,10:17,166 / 655 / 795,11:04:36
92,412,473,Matthew Mead,M,40,1053,1:22:53,02:08,328 / 1193 / 1467,10:51,5:24:54,20.68,105 / 444 / 485,06:04,4:00:25,09:10,73 / 328 / 384,11:05:05
93,414,475,Todd O'Neal,M,40,1241,1:08:07,01:45,73 / 368 / 422,07:33,5:08:04,21.81,46 / 224 / 240,05:14,4:36:54,10:34,185 / 735 / 903,11:05:51
94,421,484,Filip Smets,M,40,1343,1:06:20,01:43,48 / 257 / 298,06:44,5:34:26,20.09,161 / 605 / 681,05:23,4:14:56,09:43,110 / 473 / 572,11:07:47
95,431,497,Ian Russell,M,40,2626,1:15:09,01:56,211 / 776 / 932,13:48,5:04:40,22.06,33 / 184 / 196,08:50,4:27:29,10:12,159 / 630 / 763,11:09:55
