A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
113,590,722,Mark Kay,M,40,698,52:22,01:22,1 / 15 / 15,06:45,5:33:45,20.11,55 / 299 / 338,09:43,6:20:03,14:29,195 / 818 / 1029,13:02:40
114,605,740,Adrian Loughlin,M,40,714,1:18:42,02:04,135 / 590 / 718,07:10,5:41:42,19.64,73 / 378 / 426,03:08,5:59:13,13:41,182 / 757 / 951,13:09:56
115,612,748,Joseph Wong,M,40,808,1:25:36,02:15,167 / 720 / 891,06:17,6:14:19,17.93,149 / 632 / 747,06:51,5:17:51,12:07,134 / 581 / 733,13:10:57
116,613,749,Somprasong Laingam,M,40,705,1:11:19,01:52,91 / 402 / 488,05:26,6:00:11,18.63,119 / 531 / 615,04:13,5:50:03,13:20,172 / 720 / 908,13:11:16
117,619,755,Shane Gray,M,40,672,1:01:17,01:36,20 / 115 / 132,04:28,5:42:31,19.59,75 / 384 / 434,08:03,6:16:56,14:22,192 / 811 / 1019,13:13:18
118,620,760,Kenichi Inamoto,M,40,691,1:30:49,02:23,181 / 789 / 978,06:56,6:01:40,18.56,125 / 542 / 632,05:38,5:30:17,12:35,152 / 636 / 805,13:15:21
119,623,763,Peter Clark,M,40,637,1:09:04,01:49,72 / 333 / 399,04:41,6:01:07,18.58,122 / 538 / 626,09:10,5:51:53,13:25,173 / 725 / 915,13:15:58
120,625,766,Paul Mercer,M,40,729,1:11:27,01:52,93 / 410 / 497,09:53,6:14:18,17.93,148 / 631 / 746,09:26,5:31:46,12:39,154 / 640 / 810,13:16:52
121,627,768,Ewan Cameron,M,40,632,1:20:36,02:07,142 / 632 / 769,10:56,6:01:34,18.56,124 / 541 / 631,06:24,5:38:02,12:53,160 / 660 / 837,13:17:35
122,636,783,Yeongphang Lim,M,40,711,1:24:58,02:14,165 / 709 / 879,14:00,6:18:49,17.72,156 / 657 / 778,07:53,5:16:30,12:04,131 / 572 / 723,13:22:12
123,637,784,Andrew Roberts,M,40,757,1:11:51,01:53,96 / 421 / 510,11:05,6:29:31,17.23,171 / 737 / 884,07:03,5:22:56,12:18,140 / 602 / 760,13:22:29
124,638,785,Steve Geiles,M,40,666,1:16:40,02:01,127 / 549 / 665,11:05,5:52:22,19.04,102 / 468 / 541,09:48,5:52:40,13:26,176 / 730 / 921,13:22:36
125,640,788,Matthew Kerrish,M,40,701,1:11:20,01:52,92 / 403 / 490,06:22,5:46:44,19.35,83 / 417 / 475,04:29,6:14:55,14:17,189 / 804 / 1010,13:23:53
126,644,794,Roger Steinkrug,M,40,780,1:01:22,01:36,21 / 118 / 136,03:33,5:16:55,21.18,31 / 169 / 181,03:49,6:59:07,15:59,213 / 894 / 1120,13:24:48
127,656,811,Hajime Mitsuoka,M,40,732,1:22:13,02:09,150 / 661 / 808,08:10,6:35:32,16.97,176 / 763 / 922,04:42,5:18:31,12:08,135 / 584 / 736,13:29:11
128,665,820,Stephen Leahy,M,40,707,1:29:16,02:20,178 / 763 / 944,09:07,6:06:54,18.29,135 / 579 / 681,08:42,5:38:43,12:55,161 / 664 / 841,13:32:45
129,668,823,Yen Hun Kang,M,40,697,1:22:31,02:10,151 / 663 / 812,09:00,6:26:23,17.37,166 / 713 / 850,07:46,5:28:03,12:30,147 / 627 / 791,13:33:46
130,680,837,Ian Galistan,M,40,662,1:45:23,02:46,209 / 891 / 1110,12:36,6:08:20,18.22,136 / 586 / 690,05:27,5:26:30,12:27,144 / 615 / 778,13:38:18
131,682,840,David Wright,M,40,810,1:19:06,02:04,137 / 599 / 728,08:28,6:54:55,16.17,197 / 843 / 1042,04:51,5:12:03,11:54,124 / 550 / 695,13:39:24
132,684,842,Tony Leahy,M,40,708,1:13:52,01:56,110 / 478 / 580,13:07,6:19:45,17.67,158 / 664 / 786,10:04,5:42:46,13:04,167 / 691 / 871,13:39:37
133,686,844,Gerhardus Viljoen,M,40,797,1:43:09,02:42,207 / 882 / 1096,08:18,6:11:56,18.04,143 / 613 / 721,07:56,5:29:15,12:33,151 / 633 / 801,13:40:36
134,688,846,Stu Rodie,M,40,760,1:17:01,02:01,128 / 556 / 672,07:34,6:10:00,18.14,139 / 597 / 702,15:15,5:52:03,13:25,174 / 726 / 916,13:41:56
135,690,849,Don Dragicevich,M,40,652,1:23:04,02:11,155 / 674 / 828,12:06,6:05:24,18.37,134 / 568 / 668,12:31,5:49:54,13:20,171 / 719 / 906,13:43:01
136,693,853,Chee Meng Chan,M,40,633,1:42:50,02:42,205 / 879 / 1093,10:01,6:30:49,17.17,173 / 743 / 893,05:38,5:14:52,12:00,128 / 563 / 714,13:44:11
137,697,858,Michael Pickett,M,40,748,1:15:19,01:58,120 / 510 / 613,07:13,6:21:34,17.59,161 / 679 / 806,05:12,5:55:29,13:33,178 / 742 / 934,13:44:49
138,700,861,Douglas Maxfield,M,40,727,1:25:49,02:15,168 / 723 / 894,10:53,6:13:39,17.96,147 / 626 / 740,15:04,5:39:42,12:57,164 / 674 / 852,13:45:09
139,710,872,Matthew SMITH,M,40,775,1:05:53,01:44,48 / 229 / 274,06:02,6:30:57,17.17,174 / 744 / 895,07:33,5:58:52,13:41,181 / 754 / 948,13:49:18
140,714,879,Steven Archer,M,40,605,1:45:42,02:46,210 / 894 / 1113,07:11,6:53:24,16.23,195 / 836 / 1031,05:37,4:59:29,11:25,108 / 500 / 628,13:51:25
141,719,888,Zane Alexander,M,40,598,1:20:10,02:06,141 / 619 / 753,09:51,7:22:27,15.17,215 / 915 / 1138,12:44,4:47:44,10:58,99 / 443 / 551,13:52:58
