A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
108,635,716,Sean Wright,M,40,1227,1:13:19,01:53,110 / 631 / 697,08:15,5:53:39,19,105 / 523 / 562,08:19,5:04:35,11:37,162 / 736 / 864,12:28:07
109,637,718,Mike ROBERTSON,M,40,1190,1:19:07,02:02,162 / 860 / 978,09:14,6:21:12,17.63,178 / 838 / 937,07:06,4:31:55,10:22,95 / 443 / 520,12:28:34
110,640,721,Hennie ZEELIE,M,40,1103,1:43:11,02:40,253 / 1160 / 1368,05:52,6:07:13,18.3,146 / 693 / 759,11:18,4:21:08,09:58,72 / 348 / 409,12:28:42
111,642,724,Wikus ERASMUS,M,40,1254,1:05:58,01:42,46 / 303 / 334,10:06,6:18:38,17.75,172 / 810 / 902,06:58,4:48:00,10:59,130 / 599 / 699,12:29:40
112,647,729,Dale Williams,M,40,1043,1:10:17,01:49,79 / 468 / 512,05:41,6:24:16,17.49,189 / 880 / 983,04:41,4:46:20,10:55,124 / 583 / 683,12:31:15
113,650,732,Jeff JONAS,M,40,1125,1:23:12,02:09,192 / 981 / 1125,06:33,5:33:21,20.16,44 / 256 / 275,04:38,5:25:07,12:24,203 / 890 / 1050,12:32:51
114,657,739,Keith PLATEEL,M,40,1147,1:15:15,01:56,124 / 711 / 798,06:59,5:52:02,19.09,102 / 503 / 540,06:56,5:12:32,11:55,176 / 796 / 935,12:33:44
115,658,740,Charles LOSPER,M,40,1028,1:09:17,01:47,68 / 417 / 459,06:35,6:02:24,18.54,130 / 642 / 697,08:13,5:07:26,11:44,167 / 754 / 884,12:33:55
116,659,741,Dries DU TOIT,M,40,1055,1:03:50,01:39,31 / 239 / 263,05:38,6:07:12,18.3,145 / 692 / 758,03:58,5:13:32,11:58,180 / 807 / 948,12:34:10
117,662,744,Gary BABICH,M,40,1072,1:14:06,01:55,116 / 663 / 741,08:09,6:06:24,18.34,142 / 684 / 747,05:28,5:01:20,11:30,157 / 710 / 833,12:35:27
118,663,745,Wayne LE GRANGE,M,40,1250,1:33:05,02:24,239 / 1115 / 1306,13:49,6:03:30,18.49,134 / 654 / 711,06:54,4:38:16,10:37,107 / 499 / 586,12:35:34
119,666,748,Thomas KUJAWA,M,40,1244,1:21:24,02:06,181 / 931 / 1063,07:12,6:04:59,18.41,138 / 669 / 730,05:26,4:56:53,11:19,146 / 674 / 791,12:35:54
120,670,753,Gary FRONEMAN,M,40,1073,1:17:19,02:00,151 / 796 / 900,05:22,6:22:05,17.59,183 / 853 / 954,04:54,4:46:38,10:56,128 / 589 / 689,12:36:18
121,674,757,Hennie SENEKAL,M,40,1102,1:11:17,01:50,90 / 535 / 586,07:28,5:59:09,18.71,117 / 602 / 647,05:57,5:12:55,11:56,178 / 804 / 944,12:36:46
122,683,769,Jay BEHRMANN,M,40,1122,1:09:04,01:47,67 / 405 / 446,06:23,5:43:50,19.54,75 / 391 / 418,06:52,5:32:07,12:40,210 / 933 / 1101,12:38:16
123,693,780,Barrie BOTHA,M,40,1005,1:25:41,02:13,214 / 1024 / 1185,10:41,6:26:29,17.39,197 / 898 / 1005,07:14,4:29:28,10:17,91 / 423 / 495,12:39:33
124,695,782,Johan CONRADIE,M,40,1132,1:32:22,02:23,238 / 1109 / 1299,14:24,5:51:24,19.12,100 / 490 / 527,08:54,4:52:38,11:10,139 / 646 / 753,12:39:42
125,699,786,Gordon GEACH,M,40,1086,1:07:59,01:45,60 / 368 / 405,12:44,5:50:16,19.19,96 / 472 / 507,07:48,5:21:03,12:15,192 / 859 / 1010,12:39:50
126,704,793,Johan MOSTERT,M,40,1133,1:28:24,02:17,226 / 1065 / 1241,06:18,6:12:54,18.02,161 / 753 / 833,06:29,4:46:37,10:56,127 / 587 / 687,12:40:42
127,714,804,Anton JOOSTE,M,40,1004,1:29:32,02:19,229 / 1082 / 1263,07:22,6:17:51,17.78,169 / 801 / 893,07:20,4:39:38,10:40,111 / 512 / 601,12:41:43
128,718,810,Hendrik VAN WYK,M,40,1101,1:34:13,02:26,243 / 1126 / 1323,07:07,6:09:35,18.18,152 / 717 / 789,05:03,4:46:21,10:55,125 / 584 / 684,12:42:19
129,723,816,Graham BROOKS,M,40,1088,1:10:07,01:48,78 / 458 / 501,09:42,6:20:15,17.67,177 / 828 / 925,05:41,4:57:56,11:22,147 / 685 / 804,12:43:41
130,729,822,Andre PEPLER,M,40,988,1:04:41,01:40,39 / 261 / 288,05:04,5:44:34,19.5,78 / 400 / 429,04:05,5:46:30,13:13,224 / 1004 / 1189,12:44:54
131,730,825,Brendon THORPE,M,40,1014,1:20:17,02:04,172 / 895 / 1020,07:11,6:00:50,18.62,125 / 626 / 677,05:55,5:10:47,11:51,174 / 784 / 922,12:45:00
132,732,827,Jeff VAN STADEN,M,40,1126,1:10:37,01:49,84 / 488 / 535,06:49,6:19:23,17.71,175 / 823 / 916,06:46,5:01:36,11:30,158 / 711 / 836,12:45:11
133,742,842,Etienne Steenkamp,M,40,1063,1:10:23,01:49,81 / 476 / 521,07:38,5:52:49,19.05,103 / 513 / 552,09:13,5:28:34,12:32,207 / 914 / 1077,12:48:37
134,747,849,Glen EVE,M,40,1084,1:09:18,01:47,69 / 420 / 462,05:46,5:55:09,18.92,108 / 549 / 588,08:44,5:31:06,12:38,208 / 925 / 1092,12:50:03
135,752,854,Jaco DU TOIT,M,40,1115,1:12:21,01:52,104 / 587 / 644,05:04,5:45:03,19.48,81 / 404 / 433,05:11,5:42:58,13:05,218 / 984 / 1165,12:50:37
136,753,858,Guillaume OLIVIER,M,40,1093,1:12:17,01:52,102 / 579 / 635,08:29,6:09:30,18.19,151 / 715 / 787,08:58,5:11:27,11:53,175 / 787 / 925,12:50:41
137,754,860,Gert VAN DER MERWE,M,40,1082,1:04:09,01:39,35 / 245 / 269,06:10,6:05:17,18.4,139 / 671 / 732,04:26,5:31:28,12:39,209 / 926 / 1093,12:51:30
138,758,864,Gerhard VILJOEN,M,40,1079,1:22:24,02:08,185 / 960 / 1099,07:41,6:34:27,17.04,206 / 962 / 1079,04:07,4:43:48,10:49,117 / 550 / 644,12:52:27
