A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
45,236,277,Jeff Hulting,M,40,-,1:32:05,02:23,185 / 881 / 1074,,5:36:07,19.99,56 / 263 / 287,,3:52:39,08:52,35 / 196 / 230,11:09:54
46,239,280,Michael Nurok,M,40,-,1:25:51,02:13,148 / 720 / 882,,5:28:05,20.48,36 / 193 / 213,,4:04:33,09:20,52 / 277 / 327,11:10:03
47,244,285,Jose Luis Vera Sanchez,M,40,-,1:09:56,01:48,46 / 259 / 308,,8:11:43,13.67,284 / 1355 / 1719,,1:40:49,03:50,1 / 1 / 1,11:10:22
48,251,293,John Kilburn,M,40,-,1:11:29,01:51,60 / 315 / 373,,5:31:38,20.26,43 / 225 / 246,,4:21:37,09:59,94 / 438 / 521,11:12:55
49,253,295,Alexandre Pinto,M,40,-,1:24:27,02:11,137 / 674 / 823,,5:45:35,19.45,83 / 359 / 400,,3:56:12,09:00,42 / 218 / 257,11:13:21
50,260,302,Carlos Galvao,M,40,-,1:06:30,01:43,32 / 190 / 226,,5:18:54,21.07,22 / 132 / 149,,4:38:35,10:37,126 / 588 / 716,11:14:29
51,261,303,Toshikazu Imada,M,40,-,1:12:27,01:52,67 / 355 / 420,,5:46:54,19.37,87 / 370 / 414,,3:58:27,09:06,45 / 234 / 274,11:14:30
52,265,309,Mario Villafa?,M,40,-,1:19:19,02:03,94 / 488 / 593,,5:44:28,19.51,78 / 342 / 383,,4:03:13,09:16,49 / 268 / 318,11:15:13
53,266,310,Miguel Angel Aguilar,M,40,-,1:27:53,02:16,158 / 762 / 931,,5:45:56,19.43,86 / 364 / 406,,3:49:55,08:46,30 / 182 / 213,11:15:14
54,267,311,Keith Fullerton,M,40,-,1:10:47,01:49,51 / 283 / 334,,5:42:00,19.65,68 / 314 / 351,,4:16:58,09:48,80 / 387 / 465,11:15:18
55,268,312,Yoshizumi Shiono,M,40,-,1:24:31,02:11,138 / 680 / 829,,5:38:08,19.87,61 / 281 / 310,,4:03:43,09:18,50 / 271 / 321,11:15:44
