A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
103,542,636,Tim Matthews,M,40,1171,1:19:59,02:04,203 / 890 / 1088,07:11,6:06:22,18.34,87 / 467 / 522,02:55,5:14:13,11:59,160 / 633 / 780,12:50:40
104,544,638,Jeff Smith,M,40,1228,1:33:24,02:25,304 / 1206 / 1520,13:39,7:21:16,15.23,264 / 1096 / 1324,12:03,3:30:57,08:03,6 / 46 / 55,12:51:19
105,545,639,Bud LaCombe,M,40,1254,1:10:08,01:48,88 / 450 / 533,07:57,6:16:46,17.84,112 / 580 / 651,07:10,5:09:29,11:48,149 / 597 / 731,12:51:30
106,548,644,Cesar Valverde,M,40,1294,1:07:02,01:44,58 / 315 / 369,09:20,6:24:59,17.46,145 / 663 / 758,03:51,5:06:50,11:42,139 / 574 / 699,12:52:02
107,549,645,Private,M,40,1238,1:28:30,02:17,274 / 1119 / 1395,08:36,6:18:04,17.77,115 / 593 / 668,06:43,4:50:12,11:04,100 / 453 / 544,12:52:05
108,553,649,Scott D'angelo,M,40,1189,1:25:39,02:13,264 / 1066 / 1320,06:58,6:21:34,17.61,127 / 625 / 708,04:59,4:53:22,11:11,110 / 470 / 566,12:52:32
109,554,650,Joe Burschinger,M,40,1210,1:02:03,01:36,18 / 145 / 176,07:46,6:29:05,17.27,159 / 699 / 805,07:13,5:06:32,11:41,136 / 568 / 693,12:52:39
110,555,651,TRAVIS GROOMS,M,40,1190,1:16:18,01:58,162 / 749 / 901,07:46,6:25:11,17.45,146 / 666 / 763,08:18,4:55:08,11:15,111 / 476 / 575,12:52:41
111,559,656,PIERRE THIFFAULT,M,40,1414,1:25:28,02:12,263 / 1060 / 1313,12:42,6:42:01,16.72,188 / 829 / 960,05:31,4:27:30,10:12,58 / 290 / 347,12:53:12
112,567,664,RUSSELL CRAIG,M,40,1330,1:14:02,01:55,138 / 647 / 783,14:07,6:17:12,17.82,113 / 585 / 656,06:39,5:03:24,11:34,131 / 548 / 670,12:55:24
113,568,665,Danny Baker,M,40,1231,1:19:05,02:02,193 / 862 / 1048,10:11,6:29:36,17.25,162 / 708 / 814,05:40,4:50:58,11:06,102 / 455 / 546,12:55:30
114,580,683,Mike Wilford,M,40,1185,1:36:36,02:30,318 / 1238 / 1569,05:25,6:17:43,17.79,114 / 590 / 664,08:34,4:51:26,11:07,105 / 459 / 551,12:59:44
115,581,684,GEORGE ARROYO,M,40,1287,1:24:34,02:11,253 / 1041 / 1287,07:19,6:13:54,17.97,102 / 541 / 606,05:39,5:08:30,11:46,146 / 586 / 719,12:59:56
116,588,694,Roland Goodell,M,40,1093,1:17:48,02:00,181 / 815 / 990,06:04,5:49:05,19.25,48 / 280 / 310,03:03,5:46:50,13:14,219 / 866 / 1084,13:02:50
117,592,698,PETER WESEL,M,40,1273,1:11:42,01:51,106 / 522 / 624,05:37,6:00:37,18.63,71 / 401 / 447,04:22,5:41:04,13:01,211 / 817 / 1018,13:03:22
118,599,706,Bruce Morgan,M,40,1263,1:20:23,02:04,210 / 911 / 1111,07:27,6:33:45,17.07,172 / 741 / 852,05:45,4:58:08,11:22,118 / 506 / 609,13:05:28
119,601,708,MICHAEL ROGERS,M,40,1144,1:12:12,01:52,112 / 556 / 666,06:21,6:16:06,17.87,110 / 569 / 638,07:45,5:24:26,12:22,179 / 715 / 879,13:06:50
120,603,710,EDWARD MARX,M,40,1345,1:30:15,02:20,291 / 1156 / 1448,09:43,6:36:30,16.95,176 / 771 / 889,10:19,4:40:39,10:42,82 / 383 / 457,13:07:26
121,609,717,Joseph Cook,M,40,1225,1:15:09,01:56,152 / 694 / 837,07:49,6:14:27,17.95,104 / 550 / 617,08:25,5:22:44,12:19,175 / 706 / 869,13:08:34
122,610,719,Peter Watson,M,40,1286,1:30:35,02:20,293 / 1165 / 1458,09:07,6:18:04,17.77,115 / 593 / 668,04:29,5:06:34,11:42,138 / 570 / 695,13:08:49
123,617,727,Dwight Keith,M,40,1077,1:19:13,02:03,196 / 867 / 1053,10:40,6:19:26,17.71,121 / 606 / 685,08:36,5:14:21,11:59,161 / 635 / 782,13:12:16
124,618,728,THOMAS KUERTEN,M,40,1197,1:12:49,01:53,119 / 582 / 702,09:35,6:48:11,16.46,206 / 872 / 1022,05:49,4:56:03,11:17,113 / 485 / 585,13:12:27
125,619,729,KENT DAMON JR,M,40,1083,1:14:46,01:56,147 / 681 / 822,11:17,6:35:43,16.98,175 / 763 / 880,14:54,4:56:04,11:18,114 / 486 / 586,13:12:44
126,620,730,JANOS KAPITANY,M,40,1175,1:14:33,01:55,143 / 667 / 808,06:36,6:25:27,17.43,148 / 670 / 767,07:11,5:19:01,12:10,169 / 670 / 825,13:12:48
127,621,731,LUKE CHANDLER,M,40,1151,1:14:57,01:56,151 / 688 / 830,10:55,6:20:09,17.68,125 / 616 / 697,09:11,5:17:48,12:07,165 / 659 / 810,13:13:00
128,647,763,Paul Trombino,M,40,1247,1:08:24,01:46,72 / 388 / 455,05:53,6:19:29,17.71,123 / 608 / 687,08:14,5:37:53,12:53,201 / 797 / 994,13:19:53
129,649,766,JOHN WYRWAS,M,40,1275,1:15:38,01:57,153 / 706 / 851,09:09,6:36:38,16.94,178 / 773 / 893,08:28,5:10:36,11:51,153 / 603 / 742,13:20:29
130,651,768,Duke Young,M,40,1196,1:31:56,02:22,301 / 1191 / 1494,05:25,6:06:48,18.32,88 / 474 / 529,07:37,5:28:59,12:33,185 / 736 / 909,13:20:45
131,657,775,JOSEPH MCNAMARA,M,40,1091,1:22:32,02:08,232 / 987 / 1212,08:17,7:08:41,15.68,245 / 1022 / 1228,10:53,4:31:20,10:21,70 / 317 / 378,13:21:43
132,658,776,JAMES HECZKO,M,40,1295,1:11:48,01:51,107 / 528 / 631,07:52,7:07:13,15.73,242 / 1010 / 1214,06:19,4:48:38,11:01,94 / 437 / 522,13:21:50
133,660,778,Charles Griff,M,40,1173,1:02:33,01:37,21 / 158 / 189,08:41,6:37:10,16.92,180 / 782 / 903,15:02,5:18:32,12:09,168 / 663 / 816,13:21:58
134,664,782,Anthony Gaspar,M,40,1378,1:28:49,02:17,276 / 1125 / 1402,06:47,6:29:06,17.27,160 / 700 / 806,04:28,5:13:07,11:57,156 / 628 / 772,13:22:17
135,669,787,LAWRENCE DORN,M,40,1297,1:27:47,02:16,271 / 1109 / 1381,07:17,6:01:55,18.57,74 / 413 / 460,07:03,5:38:43,12:55,204 / 802 / 999,13:22:45
136,670,788,HENRY COLLINS,M,40,1163,1:15:52,01:57,156 / 720 / 866,06:18,6:30:49,17.19,166 / 718 / 825,06:47,5:23:12,12:20,177 / 709 / 873,13:22:58
137,675,795,JOSEPH GRANGE,M,40,1336,1:09:47,01:48,84 / 439 / 518,06:06,6:21:38,17.61,128 / 626 / 709,05:39,5:41:13,13:01,212 / 818 / 1019,13:24:23
138,677,797,KENNETH PRUETT,M,40,1362,1:09:34,01:48,80 / 427 / 504,10:16,6:27:26,17.34,156 / 687 / 789,05:53,5:31:40,12:39,190 / 750 / 929,13:24:49
139,684,808,David Fournier,M,40,1361,1:17:51,02:00,184 / 820 / 997,04:38,7:03:56,15.85,237 / 991 / 1186,02:07,4:59:04,11:24,122 / 515 / 621,13:27:36
